item_name,qty,link
quadpod,1,look in STL folder
nosepoke,1,look in STL folder
Photointerrupter (+board),1,https://www.sparkfun.com/photo-interrupter-gp1a57hrj00f.html
raspberry pi 4,1,
Sensor Omnivision 5647,1,https://rambal.com/raspberry/1650-camara-raspberry-pi-ov5647-vision-nocturna-ojo-pez-130-5mpp.html?search_query=camara+IR&results=13
USB to TTL FT232RL,1,https://rambal.com/cables-conversores/684-convertidor-serial-ttl-a-usb-ft232rl.html?search_query=usb+to+ttl&results=2
usb to microusb,1,
HDMI to MICROHDMI,1,https://mcielectronics.cl/shop/product/cable-hdmi-a-micro-hdmi-27580/
pi power source,1,
Sd 128 gb,1,https://mcielectronics.cl/shop/product/memoria-microsd-128gb-sandisk-sandisk-28066/
